Main Topics,Subtopics,Details,Links,Video Links
,,Q. Count Pairs with given sum,https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum5022/1,https://youtu.be/NC9r8D2QnHk?si=nWVnSK7h3P9V8k7u
,Hashset Data Structure,what is hashset data structure ,,https://youtu.be/3euKVlloIWY?si=Uvz3qkcdHLlIsnbX
,,Usage of map keys,,
,,Set Iterator,,
,Subarray questions using set,Q. Minimum number of subsets with distinct elements,Video-only problem,https://youtu.be/h6jzp9waCyk?si=GTlG-0HGVxzwzuvK
,Questions on K-SUM Subarray Pattern - 1,K-SUM Subarray Pattern,,https://youtu.be/S6tARGbBGEo?si=7wRtd-jYnSdHRYmk
,,Q. Check if subarray with K sum Exists or Not,Video-only problem,
,,Q. Find the starting and ending index of K sum subarray,https://www.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1,
,,Q. Find the maximum length subarray with K sum,https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,
,,Q. Find the minimum length subarray with K sum,Video-only problem,
,,Q. Count the total subarrays with sum K,https://leetcode.com/problems/subarray-sum-equals-k/description/,
,,Q. Find largest subarray with 0 sum,Video-only problem,
,Questions on K-SUM Subarray Pattern - 2,Q. Longest subarray with sum divisible by K,https://www.geeksforgeeks.org/problems/longest-subarray-with-sum-divisible-by-k1259/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,https://youtu.be/L03d0qThnJQ?si=1TEHDMBGaDGVeElr
,,Q. Longest increasing consecutive subsequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,https://youtu.be/4ohND5Hq-wQ?si=-Rdz-tpJZ4W1ke-g
,,Q. Largest subarray with equal number of 0s and 1s,https://www.geeksforgeeks.org/problems/largest-subarray-of-0s-and-1s/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,https://youtu.be/qOCuB-IC9KA?si=NEEgvm_zlI-dvSm_
,Sort using hashing,Bucket Sort Algorithm,,https://youtu.be/5Pe3YSnqGh8?si=8cnivpNvhCX6X0hf
Sliding Window,Sliding Window Technique,What is sliding window,,https://youtu.be/DQMxp7TS2BI?si=WN_ksJt1fWPXuLmF
,Questions on Sliding Window,Q. Maximum Sum Subarray of Size K,https://www.geeksforgeeks.org/problems/max-sum-subarray-of-size-k5313/1,https://youtu.be/rGl2Z6fuAas?si=t3JH4diL-nDnBwGe
,,Q. First Negative Number in Each Subarray of Size K,https://www.geeksforgeeks.org/problems/first-negative-integer-in-every-window-of-size-k3345/1,https://youtu.be/Rot0y4cmlNw?si=TAp7sbW1OOQkW57C
,,Q. Chocolate Distribution Problem,https://www.geeksforgeeks.org/problems/chocolate-distribution-problem3825/1,https://youtu.be/oYNU1TD9W5Y?si=1rn_BjF9-LIJDwcH
,,Q. Smallest subarray with sum greater than x,https://www.geeksforgeeks.org/problems/smallest-subarray-with-sum-greater-than-x5651/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,https://youtu.be/UXValb-h70s?si=VaCxJsB7-WKbL4nW
,,Q. Longest Substring with K unique Elements,https://www.geeksforgeeks.org/problems/longest-k-unique-characters-substring0853/1,https://youtu.be/Yp3T06_27MY?si=GUuisgzt8fXO5gF6
,,Q. Longest Substring without repeating elements,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,https://youtu.be/Vgo7tvBm8OU?si=fxI1Ggsz3C_sMlIj
,,Q. Count Occurrences of Anagrams,https://www.geeksforgeeks.org/problems/count-occurences-of-anagrams5839/1,https://youtu.be/PVXVsSkItpY?si=0zBiqLK0x9yzN85K
,,Q. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/description/,https://youtu.be/26E3K8Njm7M
,,Q. Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/description/,https://youtu.be/jOoZuTrfpjc
Two Pointers,Questions on two pointer,Q. Container with Most Water,https://leetcode.com/problems/container-with-most-water/description/,https://youtu.be/Nw_XsUEXco0
,,Q. Trapping Rainwater,https://leetcode.com/problems/trapping-rain-water/description/,https://youtu.be/pzmoYG6Y3Xs?si=IpM2ifhf6enwWWZ2
,,Q. Find Pair with a given sum in sorted Array,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/description/,https://youtu.be/Qa3FoGAcVdk
,,Q. Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description/,https://youtu.be/pXd_3whf1vQ
,,Q. Maximum Consecutive ones,https://leetcode.com/problems/max-consecutive-ones/description/,https://youtu.be/Z0J5cX0y8dk
,,Q. Sort Colors,https://leetcode.com/problems/sort-colors/description/,https://youtu.be/G4LWBrda_H4?si=hvyWLgeGTDpdPcan
,,Q. Separate Black and White Balls,https://leetcode.com/problems/separate-black-and-white-balls/,https://youtu.be/Eb7UbW2R_vo?si=w0H5bt2eUyn4-2hT
Recursion,Introduction to recursion,Recursion basics and syntax,,https://youtu.be/odcRxXSLsVo
,,Q. Print number code using recursion,Video-only problem,
,,function stack and recursive states,,
,,Q. Print number from N to 1,Video-only problem,
,,Q. Factorial of a number,https://www.geeksforgeeks.org/problems/factorial5739/1,
,,Q. Fibonacci number,https://leetcode.com/problems/fibonacci-number/description/,
