Main Topics,Subtopics,Details,Links,Video Links
,,Q. Combination Sum - IV,https://leetcode.com/problems/combination-sum-iv/description/,https://youtu.be/y1KU16gUOSE?si=F0dwyhG6O6YssxQr
,More Questions on Backtracking,Q. Number of islands,https://leetcode.com/problems/number-of-islands/description/,https://youtu.be/jUBoim74Fvc?si=KrK3mm2QE-w3YJNw
,,Q. Knights tour problem,,https://youtu.be/TZb-bAAMuzY?si=JQWhxWpZNo_aNQud
,,Q. N Queens problem,,https://youtu.be/76K-yS4sByc?si=Uy_EnBB6yOpnoUZe
,,Q. Suduko Solver,,
,Recursion - III,Binary Search using recursion,https://www.geeksforgeeks.org/problems/binary-search-1587115620/1,https://youtu.be/456By5f2-4o?si=bR07D8MNT4zSzoQe
,,Q. Josephus problem - Kill in circle,https://www.geeksforgeeks.org/problems/josephus-problem/1,https://youtu.be/4JE_9zOaX58?si=DRcQ9eRk6suWuI8B
,Divide and Conquer,Q. calculating power ( x^n),,
,,Q. Merge Sort,https://www.geeksforgeeks.org/problems/merge-sort/1,https://youtu.be/oviqkqemCRY?si=rMjLaDHLbjDVdKvc
,,Q. Quick Sort,https://www.geeksforgeeks.org/problems/quick-sort/1,https://youtu.be/RFbZx9nTB3s?si=wCJ1lyskolGze6pb
,,Q. Count Inversion,,
,,Strassen's Matrix Multiplication,,
Stack,Stack Data Structure,Stack,,https://youtu.be/TpuQWpma7ug
,,Stack using Arrays,,
,,Q. Check parenthesis,https://leetcode.com/problems/valid-parentheses/description/,https://youtu.be/CNOoP25NpfQ
,,Q. Remove minimum brackets to balance string,https://www.geeksforgeeks.org/problems/count-the-reversals0401/1,https://youtu.be/FB6wSdPjVGw
,,Q. Add minimum brackets to balance string,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/description/,https://youtu.be/BNFBv1KtcDM
,,Q. Swap minimum brackets to balance string,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/description/,https://youtu.be/RZTapGf3pzI
,,Q. Swap adjacent brackets to balance string,https://www.geeksforgeeks.org/problems/minimum-swaps-for-bracket-balancing2704/1,https://youtu.be/U48xDsqb8OE
,,Q. Asteroid Collision,https://leetcode.com/problems/asteroid-collision/description/,https://youtu.be/OtddlksWtS4
,,Q. Stock Span Problem,https://leetcode.com/problems/online-stock-span/description/,https://youtu.be/1_Bbq5qOraY
,,Q. Next Greater element,https://www.geeksforgeeks.org/problems/next-larger-element-1587115620/1,https://youtu.be/8P3e34EgVyY
,,Q. Next Smaller element,https://www.geeksforgeeks.org/problems/help-classmates--141631/1,https://youtu.be/MqQchOMmTGY
,,Q. Next Greater / Smaller element in circular array,https://leetcode.com/problems/next-greater-element-ii/description/,https://youtu.be/ahlaBL4gG1s
,,Q. Largest Rectangle in Histogram + Previous smaller element,https://leetcode.com/problems/largest-rectangle-in-histogram/description/,https://youtu.be/qUS-DZU4fj4
,,Q. Max Rectangle,https://leetcode.com/problems/maximal-rectangle/description/,https://youtu.be/DPkDmhCyyuc
,,Q. Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/description/,https://youtu.be/gqQsbdTcey0
Queue,Queue Data Structure,Queue,,https://youtu.be/9m4SZPRQXQI?si=izPej7j2qhbiKrys
,,Queue using Array,,
,,Circular Queue ,,
,,Double ended Queue,,
,,Implement queue using stack ,,https://youtu.be/Enygu8ivr0w?si=SgzjEHke5oc_cwdk
,,Implement stack using queue,,https://youtu.be/z4FxPUgXn90?si=86tva8iOIGV5E74n
,,Q. LRU Cache,,TBL
,,Q. LFU Cache,,TBL
,,Q. Rotten Oranges,,TBL
,,Q. Sliding Window Maximum,,TBL
,,Q. Find Maximum and Minimum of Every Window Size,,TBL
Collections Framework,Collections in One Shot,Introduction,,https://youtu.be/CRG9tcCr8iU
,,Need of Data Structure and Algorithms,,
,,Data and Object in real world ,,
,,Need for a framework,,
,,What is collection framework? ,,
,,Modules Vs Framework Vs Library Vs Package,,
,,How to Import Collections Framework,,
,,Hierarchy of Collections Framework - Interfaces & Classes,,
,,Functions in Collection Interface ,,
,,Java Generics and AutoBoxing,,
,,List Interface,,
,,ArrayList & its functions,,
,,How to Iterate your List using Iterator,,
,,Internal Working of ArrayList,,
,,Sorting using Comparator,,
,,Sorting based on Custom Comparator,,
,,How to Iterate your List using ListIterator,,
,,Time Complexity of ArrayList,,
,,LinkedList & its functions,,
,,ArrayList VS LinkedList,,
,,Time Complexity of LinkedList,,
,,Vectors and their use,,
,,Stack & its functions,,
,,Time Complexity of Stack,,
,,Queue & its functions,,
,,Queue using LinkedList,,
,,Queue using ArrayDeque,,
,,Deque Interface using ArrayDeque & LinkedList,,
,,PriorityQueue Implementation of Queue,,
,,Map Interface ,,
,,Hashing Concept,,
,,How Map uses Hashing Concept,,
,,HashMap & its functions,,
,,How to traverse a Map using Entry Interface,,
,,Map using LinkedHashMap,,
,,Map using TreeMap,,
,,BST,,
,,Self Balanced BST or Red-Black Tree,,
,,TreeMap & its functions,,
,,Set Interface,,
,,HashSet,,
,,How HashSet works Internally,,
,,LinkedHashSet,,
,,TreeSet,,
String Manipulation,Problems on strings,Q. Print all substrings,,https://youtu.be/I1rgYRi1tXE
,,Q. Reverse a string,,https://youtu.be/m9QAjIVnmp4
,,Q. Check if a string is pallindrome,,https://youtu.be/-HGtMO4MkWs
,,Q. Reverse words in a String,,https://youtu.be/KhNAMB3jDOU
,,Q. Check if two strings are anagram,https://www.geeksforgeeks.org/problems/anagram-1587115620/1,https://youtu.be/SFF3ND7TPc0
,,Q. Reverse Words in a String -iii,https://leetcode.com/problems/reverse-words-in-a-string-iii/,https://youtu.be/ajhV7EYLfOY
,,Q. Longest Pallindrome,,TBD
,,Q. Find all Anagrams,,TBD
,,Q. K-Anagrams,,TBD
,,Q. Roman to Integer,,TBD
,,Q. First Repeated word in a string,,TBD
,,Q. Isomorphic String checker,,TBD
Hashing,Hashing,Components of Hashing,,https://youtu.be/vB3WKXNH-v4?si=oAOjWmxgCLXQvjC2
,,How hashing works?,,
,,Types of Hash Functions,,
,,Collisions ,,
,,Collision Resolution Techniques - Separate chaining,,
,,Collision Resolution Techniques - Open Addressing,,
,,Load Factor,,
,,Rehashing,,
,,Applications and Advantages,,
,Hashmap Data Structure,What is hashmap?,,https://youtu.be/CMA0MQQ3jhA?si=qi9VRUEUv4Rldbv2
,,How to use custom key-value pair,,
,Implement HashMap in Java,All Methods,,https://youtu.be/B4VukYcQG_E?si=D4bP5zpwtOFPzNQM
,,Hashcode function,,
,,Rehashing,,
,Questions on hashmap,Q. Most frequent element in an array,,https://youtu.be/O5iUfFHxCZc?si=wKCy3r5x7hgIDEib
,,Q. Check if an array is subset of another array,https://www.geeksforgeeks.org/problems/array-subset-of-another-array2317/1,https://youtu.be/V4hi-l-xNXU?si=LMEB14_uTicW-6vM
,,Q. Count Pairs with given sum,https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum5022/1,https://youtu.be/NC9r8D2QnHk?si=nWVnSK7h3P9V8k7u
,Hashset Data Structure,what is hashset data structure ,,https://youtu.be/3euKVlloIWY?si=Uvz3qkcdHLlIsnbX
,,Usage of map keys,,
,,Set Iterator,,
,Subarray questions using set,Q. Minimum number of subsets with distinct elements,,https://youtu.be/h6jzp9waCyk?si=GTlG-0HGVxzwzuvK
,,Questions on K-SUM Subarray Pattern,,https://youtu.be/S6tARGbBGEo?si=7wRtd-jYnSdHRYmk
,,Q. Check if subarray with K sum Exists or Not,,
,,Q. Find the starting and ending index of K sum subarray,https://www.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1,
,,Q. Find the maximum length subarray with K sum,https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,
,,Q. Find the minimum length subarray with K sum,,
,,Q. Count the total subarrays with sum K,https://leetcode.com/problems/subarray-sum-equals-k/description/,
,,Q. Find largest subarray with 0 sum,,
,,Q. Longest subarray with sum divisible by K,https://www.geeksforgeeks.org/problems/longest-subarray-with-sum-divisible-by-k1259/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,https://youtu.be/L03d0qThnJQ?si=1TEHDMBGaDGVeElr
,,Q. Longest increasing concecutive subsequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,https://youtu.be/4ohND5Hq-wQ?si=-Rdz-tpJZ4W1ke-g
,,Q. Count distinct elements in every window of size K,,TBD
,,Q. Largest subarray with equal number of 0s and 1s,https://www.geeksforgeeks.org/problems/largest-subarray-of-0s-and-1s/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,https://youtu.be/qOCuB-IC9KA?si=NEEgvm_zlI-dvSm_
,,Q. Find pairs with given sum such that elements of pair are in different rows,,TBD
,,Bucket Sort Algorithm,,https://youtu.be/5Pe3YSnqGh8?si=8cnivpNvhCX6X0hf
Sliding Window,Sliding Window Technique,What is sliding window,,https://youtu.be/DQMxp7TS2BI?si=WN_ksJt1fWPXuLmF
,,Q. Maximum Sum Subarray of Size K,https://www.geeksforgeeks.org/problems/max-sum-subarray-of-size-k5313/1,https://youtu.be/rGl2Z6fuAas?si=t3JH4diL-nDnBwGe
,,Q. First Negative Number in Each Subarray of Size K,https://www.geeksforgeeks.org/problems/first-negative-integer-in-every-window-of-size-k3345/1,https://youtu.be/Rot0y4cmlNw?si=TAp7sbW1OOQkW57C
,,Q. Chocolate Distribution Problem,https://www.geeksforgeeks.org/problems/chocolate-distribution-problem3825/1,https://youtu.be/oYNU1TD9W5Y?si=1rn_BjF9-LIJDwcH
,,Q. Smallest subarray with sum greater than x,https://www.geeksforgeeks.org/problems/smallest-subarray-with-sum-greater-than-x5651/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,https://youtu.be/UXValb-h70s?si=VaCxJsB7-WKbL4nW
,,Q. Longest Substring with K unique Elements,https://www.geeksforgeeks.org/problems/longest-k-unique-characters-substring0853/1,https://youtu.be/Yp3T06_27MY?si=GUuisgzt8fXO5gF6
,,Q. Longest Substring without repeating elements,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,https://youtu.be/Vgo7tvBm8OU?si=fxI1Ggsz3C_sMlIj
,,Q. Count Occurances of Anagrams,https://www.geeksforgeeks.org/problems/count-occurences-of-anagrams5839/1,https://youtu.be/PVXVsSkItpY?si=0zBiqLK0x9yzN85K
,,Q. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/description/,https://youtu.be/26E3K8Njm7M
,,Q. Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/description/,https://youtu.be/jOoZuTrfpjc
Two Pointers,Questions on two pointer,Q. Container with Most Water,,TBD
,,Q. Trapping Rainwater,,TBD
,,Q. Find Pair with a given sum in sorted Array,,TBD
,,Q. Remove Duplicates from Sorted Array,,TBD
,,Q. Maximum Consecutive ones,,TBD
,,Q. Reverse Pairs,,TBD
,,Q. The Celebrity Problem,,TBD
Linked List,Linked List Data Structure,Intro to linked list Data Structure,,https://youtu.be/cf4RNGYI6hk?si=aY6v4j2CUzgaPlpm
,,Types of linked list,,
,,All operations of Single linked list,,
,,Time Complexity,,
,,Applications of linked list,,
,,Implementation of linked list data structure,,
,Doubly Linked List,Intro to Doubly linked list,,https://youtu.be/JxIC0XeTl4Y?si=5HZNJ_-u8IqktXam
,,All operations and their time complexity,,
,,Implementation of linked list,,
,Questions on Linked List,Q. Find Middle of Linked List (Hare Tortoise Algorithm),https://leetcode.com/problems/middle-of-the-linked-list/description/,https://youtu.be/NUbqd8-lHl4?si=gByqGlulWwtiPV__
,,Q. Delete Middle of Linked list,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/description/,https://youtu.be/uLlJJHpq7hw?si=Fm2c_sOMqUx5QPqP
,,Q. Pairwise swap nodes of Linked List,https://www.geeksforgeeks.org/problems/pairwise-swap-elements-of-a-linked-list-by-swapping-data/1,https://youtu.be/92f3L2p31Oc?si=oyC441Kt3bph4ZCZ
,,Q. Add two numbers using Linked List,https://leetcode.com/problems/add-two-numbers/description/,https://youtu.be/OgSnJa9pDk0?si=fRMC6sMYZcrkZr07
,,Q. Reverse the linked list (Iterative + Recursive),https://leetcode.com/problems/reverse-linked-list/description/,https://youtu.be/6GkwvqS9Cq4?si=gGSvqdH_iCcI3a_K
,,Q. Palindrome linked list,https://leetcode.com/problems/palindrome-linked-list/description/,https://youtu.be/uXB8S875uyw?si=JVxHNQHRKatVgKPy
