index,questionNo,title,difficulty,acceptance,link,youtubeLink
71,85',Maximal Rectangle',Hard',55.5%',https://leetcode.com/problems/maximal-rectangle',https://youtu.be/DPkDmhCyyuc?si=c1bsoJtKElCaugzz
72,1614',Maximum Nesting Depth of the Parentheses',Easy',84.7%',https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses',https://youtu.be/VGloQtRnqqk?si=o8N6zuNyC9qhA52e
73,1700',Number of Students Unable to Eat Lunch',Easy',79.1%',https://leetcode.com/problems/number-of-students-unable-to-eat-lunch',https://youtu.be/vlt2S8xb5vk?si=N7_KxJPXwUlWpTXh
74,402',Remove K Digits',Medium',36.0%',https://leetcode.com/problems/remove-k-digits',https://youtu.be/iFdNSe26X3I?si=x90Qv1Kqd2-lRrcb
75,2751',Robot Collisions',Hard',56.1%',https://leetcode.com/problems/robot-collisions',https://youtu.be/o_-yTmv_eCI?si=KkhLjeVgRMBNYbwu
76,962',Maximum Width Ramp',Medium',55.8%',https://leetcode.com/problems/maximum-width-ramp',https://youtu.be/WqomLDmN424?si=Svma465YH9ImssPW
77,1823',Find the Winner of the Circular Game',Medium',82.2%',https://leetcode.com/problems/find-the-winner-of-the-circular-game',https://youtu.be/2dN4ktn6D1k?si=d5P9aMM4airTi0a2
78,273',Integer to English Words',Hard',34.7%',https://leetcode.com/problems/integer-to-english-words',https://youtu.be/TasoTs-9Nzo?si=5I3mav7wnO9ITq4U
79,241',Different Ways to Add Parentheses',Medium',72.9%',https://leetcode.com/problems/different-ways-to-add-parentheses',https://youtu.be/0titnH6hL5A?si=KwjB9PoxzNI_REAA
80,2044',Count Number of Maximum Bitwise-OR Subsets',Medium',89.6%',https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets',https://youtu.be/Zp0-h6Rw3Xs?si=3shyfDQpYsNfnQiJ
81,2707',Extra Characters in a String',Medium',57.2%',https://leetcode.com/problems/extra-characters-in-a-string',https://youtu.be/oCjsbtVZAlg?si=4Im2J3jHvOzINilz
82,2220',Minimum Bit Flips to Convert Number',Easy',87.7%',https://leetcode.com/problems/minimum-bit-flips-to-convert-number',https://youtu.be/PkhxhYUxMjM?si=x34UtvEO8vLUkCT5
83,1518',Water Bottles',Easy',72.6%',https://leetcode.com/problems/water-bottles',https://youtu.be/EVaioZKh7dI?si=s_wyW_2oj-q7c99S
